name,type,color_ebc,yield_percentage,protein
Medium Crystal Malt,GRAIN,160,75.0,0.0
Dark Crystal Malt,GRAIN,300,75.0,0.0
Extra Dark Crystal Malt,GRAIN,450,75.0,0.0
Crystal Wheat Malt,GRAIN,150,75.0,0.0
Amber Malt,GRAIN,70,75.0,0.0
Chocolate Malt,GRAIN,800,75.0,0.0
Light Roasted Malt,GRAIN,1000,75.0,0.0
Dark Roasted Malt,GRAIN,1400,75.0,0.0
Black Malt,GRAIN,1600,75.0,0.0
Roasted Wheat Malt,GRAIN,1600,75.0,0.0
Rosted Barley,GRAIN,1600,75.0,0.0
Gateway (Under-modified Wind-Malt),GRAIN,2.6,75.0,11.5
Pelton (Pilsner Style),GRAIN,3.7,75.0,11
Lamonta (American Pale),GRAIN,6.5,75.0,11
Vanora (Vienna Style),GRAIN,14.4,75.0,11
Metolius (Munich Style),GRAIN,24.2,75.0,11
Opal 22 (Graham & Cocoa),GRAIN,49.3,75.0,11
Opal 44 (Toasted Toffee),GRAIN,98.5,75.0,11
Shaniko (White Winter Wheat),GRAIN,8.5,75.0,12
Rimrock (Vienna-style Spring Rye),GRAIN,12,75.0,12.5
Wickiup (Hard Red Spring Wheat),GRAIN,6.9,75.0,16.2
Super Pale Ale Malt,GRAIN,2,75.0,0.0
Pilsner Malt,GRAIN,3.7,75.0,0.0
Lager Malt,GRAIN,4,75.0,0.0
Planet - Pale Ale Malt,GRAIN,6,75.0,0.0
Planet – Extra Pale Ale Malt,GRAIN,4,75.0,0.0
Craft - Pale Ale Malt,GRAIN,6,75.0,0.0
Maris Otter® - Pale Ale Malt,GRAIN,6,75.0,0.0
Maris Otter® - Extra Pale Ale Malt,GRAIN,4,75.0,0.0
Maris Otter® - Pale Blend Malt,GRAIN,6,75.0,0.0
Organic Ale Malt,GRAIN,10,75.0,0.0
Mild Malt,GRAIN,7,75.0,0.0
Dextrin Malt,GRAIN,7,75.0,0.0
Munich Malt,GRAIN,20,75.0,0.0
Vienna Malt,GRAIN,12,75.0,0.0
